code,current,name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,height,weight,disciplines,events,birth_date,birth_place,birth_country,residence_place,residence_country
1544511,TRUE,PRACHI,PRACHI,PRACHI,Female,Alternate Athlete,IND,India,India,India,India,IND,172,0,['Athletics'],"[""Women's 4 x 400m Relay""]",20-Dec-1996,Unknown,Unknown,Unknown,Unknown
1544601,TRUE,MALMGREN Emma Jonna,MALMGREN EJ,Emma Jonna MALMGREN,Female,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,0,0,['Wrestling'],"[""Women's Freestyle 53kg""]",21-Jun-2001,Unknown,Sweden,HELSINGBORG,Sweden
1544602,TRUE,LINDBORG Sara Johanna,LINDBORG SJ,Sara Johanna LINDBORG,Female,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,0,0,['Wrestling'],"[""Women's Freestyle 62kg""]",08-Jul-1998,HELSINGBORG,Sweden,HELSINGBORG,Sweden
1544703,TRUE,ATORA Emmannuella,ATORA E,Emmannuella ATORA,Female,Athlete,GAB,Gabon,Gabon,Gabon,Gabon,GAB,0,0,['Taekwondo'],['Women -57kg'],03-May-1996,LIBREVILLE,Gabon,Unknown,Unknown
1544803,TRUE,YAZDANICHARATI Hassan,YAZDANICHARATI H,Hassan YAZDANICHARATI,Male,Athlete,IRI,IR Iran,Islamic Republic of Iran,IR Iran,Islamic Republic of Iran,IRI,0,0,['Wrestling'],"[""Men's Freestyle 86kg""]",26-Dec-1994,Unknown,IR Iran,Unknown,IR Iran
1544830,TRUE,AMOUZADKHALILI Rahman,AMOUZADKHALILI R,Rahman AMOUZADKHALILI,Male,Athlete,IRI,IR Iran,Islamic Republic of Iran,IR Iran,Islamic Republic of Iran,IRI,0,0,['Wrestling'],"[""Men's Freestyle 65kg""]",17-Jul-2002,BEHSHAHR,IR Iran,Unknown,IR Iran
1544831,TRUE,EMAMICHOGHAEI Yones,EMAMICHOGHAEI Y,Yones EMAMICHOGHAEI,Male,Athlete,IRI,IR Iran,Islamic Republic of Iran,IR Iran,Islamic Republic of Iran,IRI,0,0,['Wrestling'],"[""Men's Freestyle 74kg""]",30-Mar-1997,DEYVAND,IR Iran,Unknown,Unknown
1544880,TRUE,MOHMADIPIANI Alireza,MOHMADIPIANI A,Alireza MOHMADIPIANI,Male,Athlete,IRI,IR Iran,Islamic Republic of Iran,IR Iran,Islamic Republic of Iran,IRI,0,0,['Wrestling'],"[""Men's Greco-Roman 87kg""]",30-Oct-2002,Unknown,Unknown,Unknown,Unknown
1544881,TRUE,KAVIYANINEJAD Amin,KAVIYANINEJAD A,Amin KAVIYANINEJAD,Male,Athlete,IRI,IR Iran,Islamic Republic of Iran,IR Iran,Islamic Republic of Iran,IRI,0,0,['Wrestling'],"[""Men's Greco-Roman 77kg""]",22-Nov-1998,ANDIMESHK,IR Iran,Unknown,Unknown
1544882,TRUE,MIRZAZADEH Amin,MIRZAZADEH A,Amin MIRZAZADEH,Male,Athlete,IRI,IR Iran,Islamic Republic of Iran,IR Iran,Islamic Republic of Iran,IRI,0,0,['Wrestling'],"[""Men's Greco-Roman 130kg""]",08-Jan-1998,Unknown,IR Iran,GOTVAND,IR Iran
